Subject,Condition,Used,nodule_number,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,mass
22,2,1,148,133.3,116.99,103.6,86,2.44,78.24521479,1256.2
22,2,1,179,178.03,84.68,64.05,99,2.47,78.9315297,960.5
22,2,1,182,128.02,111.11,66.34,59,1.21,43.9317261,660.7
23,2,1,6,149,117,99,72,2.18,72.00930999,988.1
23,2,1,16,151,97,73,39,1.09,39.93554079,1001.1
23,2,1,172,141.44,82.06,64.74,90,2.66,83.12467002,925
23,2,1,176,170.62,139.63,84.97,70,1.97,66.58314324,1323.2
23,2,0,211,146.13,109.88,84.77,72,2.08,69.46971908,1533.8
23,2,0,213,137.73,97.23,70.64,89,2.1,69.9840404,911.6
23,2,0,215,148.8,130.67,74.67,63,1.8,61.92751306,1044.8
23,2,0,224,169.72,119.21,63.19,57,1.9,64.694887,767.1
23,2,1,227,128.67,92.12,65.15,88,2.13,70.74950369,684.9
24,2,1,7,146,142,78,58,3.37,96.64855428,1186.7
24,2,1,17,166,125,56,49,1.44,51.28201165,827.7
24,2,1,185,127.32,72.93,64.17,82,2.42,77.78392336,837.3
24,2,1,216,153.8,123.2,56.71,82,1.9,64.694887,1182.2
24,2,1,217,140.49,124.97,87.67,81,2.06,68.95217672,1414.3
24,2,1,220,137.96,111.44,73.82,83,2.11,70.2399961,842.1
24,2,1,222,159.45,111.41,86.6,83,2.08,69.46971908,1568.5
24,2,1,225,159.03,116.88,64.94,72,1.64,57.32791422,949.6
24,2,1,229,134.81,120.2,57.27,77,2.2,72.50767547,747.8
