Participant,Group,Instructional Condition,Order,Core,Reduced Mass,Core Start Mass,Core End Mass,Flake Scars_10mm,Flake Scars_Core Mass, Cortex,Avg Flake Scar Max Dimension_mm,Max Core Dimension,Avg Scar Max_Max Core Dimension, Area of Battered Platform,surface_area,volume,bounding_box_dim1,bounding_box_dim2,bounding_box_dim3,isoper_ratio
3,novice,1,4,38,0.785620915,459,98.4,25,0.254065041,15,22.14,70.1,0.315834522,5,7768.786621,39204.71094,70.65964508,50.25650787,36.13552475,305.0584557
3,novice,1,5,24,0.886827005,819.1,92.7,30,0.323624596,10,22.8,66.3,0.343891403,5,6958.047363,36841.85156,65.72370148,52.14141083,33.08958817,248.1871232
3,novice,1,6,37,0.187777644,832.9,676.5,17,0.025129342,85,21.44117647,132.8,0.161454642,50,25718.44141,268217.2917,129.2913361,95.54522705,73.15756226,236.4614736
3,novice,1,7,13,0.854760302,1337.1,194.2,32,0.164778579,5,25.79375,85.8,0.300626457,5,11292.36133,76934.15104,86.6787262,63.82447052,40.83120728,243.285355
3,novice,1,,19,,,,,,,,,,,,,,,,
3,novice,1,,51,,,,,,,,,,,,,,,,
4,novice,1,1,52,0.731613728,469.1,125.9,23,0.18268467,45,22.13913043,65.1,0.340078809,60,8385.9375,49897.43229,60.6572113,59.22818756,39.08322525,236.8636781
4,novice,1,2,39,0.842092546,827.7,130.7,21,0.160673298,20,23.85238095,66.1,0.360852965,50,8347.561523,51849.6875,65.46279907,53.42047882,43.71788788,216.3647959
4,novice,1,3,80,0.860337357,1292.4,180.5,40,0.221606648,15,21.1725,76.3,0.27749017,70,10843.41992,71853.39063,73.14321899,63.28562927,44.23999786,246.9473083
4,novice,1,4,29,0.908084164,1535.1,141.1,13,0.092133239,30,29.91538462,68.7,0.435449558,30,8615.658203,56292.48958,68.44441223,57.56035614,44.85604477,201.8201256
4,novice,1,5,45,0.852808722,843.8,124.2,21,0.169082126,25,26.08095238,77,0.338713667,0,9214.057617,49585.32292,75.17558289,66.71031189,34.85608673,318.1606603
4,novice,1,6,14,0.858983761,954.5,134.6,29,0.215453195,25,18.95357143,60.4,0.313282172,70,8293.391602,53456.38542,59.40526581,54.26066589,47.43000793,199.6169147
4,novice,1,7,25,0.877061469,800.4,98.4,32,0.325203252,10,19.603125,66.9,0.2930213,40,7314.305664,39032.32031,66.30314636,51.76472473,26.98718834,256.8446822
4,novice,1,8,66,0.854225352,852,124.2,29,0.233494364,15,20.77586207,65.1,0.319137666,60,8310.359375,48913.05208,63.66057587,47.50427246,42.8389473,239.8887542
4,novice,1,,33,,,,,,,,,,,,,,,,
5,novice,0,1,36,0.267319162,653.9,479.1,42,0.087664371,70,19.87380952,105.5,0.188377342,95,19025.58594,189794.3542,105.495163,69.2487793,69.4249115,191.1822391
5,novice,0,2,53,0.664644379,774.7,259.8,35,0.134719015,20,23.63142857,82.6,0.286094777,40,13280.38965,103134.2188,82.04989624,66.54321289,53.23448181,220.2048531
5,novice,0,3,48,0.486717649,993.8,510.1,7,0.013722799,65,53.8,114.4,0.47027972,0,22519.63086,202498.2917,98.81503296,78.71923828,74.09121704,278.5101803
5,novice,0,4,68,0.206009655,1201.4,953.9,11,0.011531607,75,33.01818182,140.1,0.235675816,0,32704.79297,377917.125,132.5419464,98.01068115,73.70487213,244.9294846
5,novice,0,5,40,0.639255058,1304.8,470.7,49,0.104100276,35,22.73061224,88.7,0.256263949,60,18238.38477,186266.8958,88.06967163,82.65966797,61.36591339,174.8589099
5,novice,0,6,93,0.746843055,1164.1,294.7,42,0.142517815,20,21.15952381,76.1,0.278048933,85,13508.98926,116968.5313,74.25457764,64.26092529,61.77102661,180.1899214
5,novice,0,,43,,,,,,,,,,,,,,,,
5,novice,0,,47,,,,,,,,,,,,,,,,
5,novice,0,,91,,,,,,,,,,,,,,,,
6,novice,0,1,46,0.647795319,551.1,194.1,10,0.051519835,40,24.31,75.1,0.323701731,50,11054.68066,77007.375,73.31820679,58.55013657,46.70542526,227.8106199
6,novice,0,2,44,0.821776277,503.3,89.7,42,0.468227425,20,16.03809524,56.1,0.285884051,90,6316.28418,35664.92448,51.47609711,50.61096954,34.39424133,198.1081611
6,novice,0,3,60,0.413391558,1305.3,765.7,58,0.075747682,35,19.50862069,105.6,0.184740726,95,25254.04297,303091.5833,104.9055481,97.00228882,77.62765503,175.3254621
6,novice,0,4,71,0.828966174,839.6,143.6,30,0.208913649,20,22.25666667,71.2,0.313033287,70,9264.569336,56921.6875,70.53520966,64.06079102,51.3895874,245.4257769
6,novice,0,5,112,0.765486172,799.1,187.4,17,0.090715048,40,21.72352941,73.9,0.293958449,65,10542.31445,74520.21875,73.40455627,47.22856522,45.98400116,210.9889234
6,novice,0,6,87,0.237619158,860.2,655.8,24,0.036596523,70,21.225,128.9,0.164662529,75,24735.05273,259507.5208,128.6638184,92.62944031,68.02500153,224.718395
6,novice,0,,54,,,,,,,,,,,,,,,,
6,novice,0,,65,,,,,,,,,,,,,,,,
6,novice,0,,110,,,,,,,,,,,,,,,,
7,novice,0,1,55,0.182904257,594.3,485.6,15,0.030889621,75,21.30666667,102.1,0.265122843,90,19389.13672,193087.6875,98.41703796,82.94911194,75.64645386,195.5087758
7,novice,0,2,49,0.455070682,813.5,443.3,46,0.103767201,40,21.14565217,92.9,0.227617354,90,18156.17773,175651.9167,90.22125244,78.14685059,65.65135193,193.9847057
7,novice,0,3,74,0.783834236,1607.1,347.4,42,0.1208981,25,24.05,86.5,0.278034682,90,15185.85254,137451.3646,86.3784256,68.51987457,59.99493027,185.3614524
7,novice,0,4,81,0.669917919,1876.2,619.3,61,0.098498305,30,23.18196721,99.6,0.232750675,90,22920.875,245339.625,91.69298553,90.4497757,77.03736877,200.0590416
7,novice,0,,58,,,,,,,,,,,,,,,,
7,novice,0,,77,,,,,,,,,,,,,,,,
7,novice,0,,88,,,,,,,,,,,,,,,,
7,novice,0,,114,,,,,,,,,,,,,,,,
7,novice,0,,118,,,,,,,,,,,,,,,,
8,novice,0,1,56,0.707755923,894.8,261.5,20,0.076481836,30,28.285,98.9,0.285995956,5,15777.00098,102433.3542,97.91156006,79.5266571,67.15125275,374.274785
8,novice,0,2,50,0.546327898,791.1,358.9,47,0.130955698,50,18.70638298,121.5,0.149054845,30,17393.50391,142842.9167,118.4141846,59.49525452,57.42802429,257.8955322
8,novice,0,3,146,0.397586167,861.7,519.1,31,0.059718744,65,28.23870968,169.2,0.166895447,15,25468.61914,204796.9583,163.9703827,73.548172,64.24518585,393.8847736
8,novice,0,4,75,0.826293308,1264.2,219.6,39,0.177595628,30,21.55128205,81.6,0.264108849,70,11721.49121,87082.83854,76.56354523,64.22863007,39.43454742,212.365246
8,novice,0,5,69,0.768175698,1188.4,275.5,14,0.050816697,30,33.81428571,120.3,0.281083007,5,16008.76074,109299.3646,119.6122055,73.01809692,92.18508148,343.4297135
8,novice,0,6,108,0.956025918,1157.5,50.9,17,0.333988212,0,28.95882353,68.4,0.423374613,0,5383.651855,20144.79688,67.60176849,44.82656097,21.6975975,384.5077676
8,novice,0,7,89,0.854424735,1009.1,146.9,17,0.115724983,55,26.6,110.4,0.240942029,15,10809.02344,58164.43229,110.1343231,60.64360428,33.21650696,373.288309
8,novice,0,8,125,0.949414758,982.5,49.7,14,0.281690141,20,24.41428571,53.8,0.453797132,60,4856.112305,19758.67188,50.30225754,48.87916565,30.14920044,293.3260726
8,novice,0,9,90,0.814060921,692.7,128.8,21,0.163043478,60,22.4,71,0.315492958,15,8763.606445,51043.01042,70.67256165,65.323349,32.335495,258.3307101
9,novice,1,1,154,0.821763602,746.2,133,23,0.172932331,35,28.82173913,75.7,0.380736316,5,9194.023438,52846.82813,74.37034607,56.42432404,45.03598785,278.2780603
9,novice,1,2,72,0.759299781,776.9,187,44,0.235294118,40,19.92045455,75.7,0.263149994,35,10527.58887,73980.3125,73.27539063,63.94096375,49.68872452,213.183911
9,novice,1,3,129,0.840765628,1473.3,234.6,47,0.200341006,25,20.14042553,84,0.239766971,70,12378.31934,92968.83333,80.8737793,64.61659241,44.42817688,219.4372163
9,novice,1,4,92,0.789499271,822.8,173.2,29,0.16743649,45,22.3,68,0.327941177,65,10098.9375,68753.29167,65.64338684,66.09880829,50.33390808,217.8913865
9,novice,1,5,57,0.847139304,804,122.9,22,0.179007323,25,22.61363636,70.8,0.319401644,50,8336.164063,48672.36458,68.66619873,47.05158234,40.56742096,244.5309691
9,novice,1,6,61,0.919424661,716.1,57.7,21,0.363951473,15,22.07619048,61.1,0.361312446,55,5352.842285,22979.57813,59.19953156,36.58227539,30.26116943,290.4485684
9,novice,1,,83,,,,,,,,,,,,,,,,
9,novice,1,,99,,,,,,,,,,,,,,,,
9,novice,1,,117,,,,,,,,,,,,,,,,
10,novice,1,1,96,0.712570986,774.8,222.7,18,0.080826224,50,24.63888889,81.1,0.303808741,25,12261.72949,88322.90625,78.83268738,65.51120758,41.23911285,236.3243601
10,novice,1,2,62,0.589258312,586.5,240.9,46,0.190950602,20,20.34565217,75.8,0.268412298,30,12192.42676,95759.92708,76.27876282,65.16013336,56.42721176,197.6527462
10,novice,1,3,59,0.727171801,720.6,196.6,28,0.14242116,25,21.83571429,71.6,0.304968077,30,10989.76074,77854.86979,65.01708984,63.847435,49.71537781,218.9743002
10,novice,1,4,157,0.858700751,852.8,120.5,23,0.190871369,25,25.08695652,67.3,0.372763098,5,8641.612305,47964.16667,63.5204277,57.81809235,41.3841629,280.511408
10,novice,1,5,94,0.650539784,750.3,262.2,23,0.087719298,35,26.99130435,87.1,0.309888684,40,13313.91016,103940.8958,86.47447205,70.230896,48.62221146,218.4459286
10,novice,1,6,100,0.673014664,1050.2,343.4,37,0.107746069,30,24.81891892,92.4,0.268603019,80,15728.89941,135664.1563,88.87663269,59.7920723,60.74397278,211.4291039
10,novice,1,,85,,,,,,,,,,,,,,,,
10,novice,1,,119,,,,,,,,,,,,,,,,
10,novice,1,,132,,,,,,,,,,,,,,,,
11,novice,1,1,63,0.498988196,593,297.1,10,0.033658701,60,40.08,104.1,0.385014409,4,15684.56934,117782.8438,103.2451782,76.5608139,50.88710022,278.1337708
11,novice,1,2,64,0.736681423,655.1,172.5,35,0.202898551,30,20.26571429,79.6,0.254594401,40,10488.96387,68421.79688,79.5098114,63.2802124,39.0290451,246.495399
11,novice,1,3,97,0.733694856,682.3,181.7,36,0.198128784,40,20.23611111,74.9,0.270175048,40,10692.66699,71989.82292,71.01593018,55.6725502,42.62832642,235.8934674
11,novice,1,4,133,0.878748791,1240.4,150.4,32,0.212765957,20,22.36875,71.3,0.313727209,40,9610.621094,59604,70.65007019,61.29560471,38.61382294,249.8639225
11,novice,1,5,158,0.819830963,970.2,174.8,30,0.171624714,25,24.97,86.1,0.290011614,20,10964.97363,69534.01042,85.24891663,64.0714035,42.22858047,272.6642617
11,novice,1,6,103,0.682586969,1040.6,330.3,24,0.072661217,40,26.49583333,82.1,0.32272635,5,15439.31836,130873.9688,80.90657806,77.10861206,66.66087341,214.8710085
11,novice,1,,98,,,,,,,,,,,,,,,,
11,novice,1,,101,,,,,,,,,,,,,,,,
11,novice,1,,120,,,,,,,,,,,,,,,,
12,novice,1,1,70,0.905192178,741.5,70.3,17,0.241820768,30,23.81176471,59.4,0.40087146,5,10143.45801,52971.18229,87.97134399,72.43383026,35.32936859,371.9450423
12,novice,1,2,137,0.915799117,1200.7,101.1,30,0.296735905,15,22.01333333,64.1,0.343421737,20,6965.814941,40010.34375,73.07637024,82.45613098,35.47306824,211.1403476
12,novice,1,3,127,0.904707068,694.7,66.2,13,0.196374622,20,26.03076923,59.2,0.43970894,20,5716.01709,26422.2474,58.15933228,39.23823929,32.36949921,267.5106315
12,novice,1,4,175,0.927821036,809.1,58.4,32,0.547945206,10,17.88125,55.5,0.322184685,55,5036.203613,23265.76302,55.10102081,41.71325684,33.6513443,235.9800238
12,novice,1,5,105,0.967757887,1011.1,32.6,15,0.460122699,0,23.26,51.5,0.451650485,30,3737.338867,12950.72526,48.56012726,37.26129532,19.33610725,311.2427556
12,novice,1,6,145,0.890598151,1222.1,133.7,12,0.089753179,40,30.875,89.6,0.344587054,0,4531.648926,13501.69922,51.07676697,46.7576828,18.60676193,510.4954943
12,novice,1,7,115,0.958143959,946.1,39.6,19,0.47979798,5,18.26842105,43.8,0.417087239,60,3837.490723,15769.34375,43.1183815,38.35900116,23.04764366,227.2556948
12,novice,1,8,67,0.940706806,764,45.3,14,0.309050773,10,23.72857143,44.7,0.530840524,10,4100.421387,17985.24479,42.26963043,35.44076157,36.60458374,213.1340137
12,novice,1,9,102,0.971410978,1136.8,32.5,14,0.430769231,5,24.22857143,51.4,0.471372985,25,3873.723389,15705.50651,43.20232773,38.64011383,23.59973717,235.6578564
