"","Participant","Group","Instructional.Condition","Order","Core","Reduced.Mass","Core.Start.Mass","Core.End.Mass","Flake.Scars_10mm","Flake.Scars_Core.Mass","Cortex","Avg.Flake.Scar.Max.Dimension_mm","Max.Core.Dimension","Avg.Scar.Max_Max.Core.Dimension","Area.of.Battered.Platform","surface_area","volume","bounding_box_dim1","bounding_box_dim2","bounding_box_dim3","isoper_ratio","area_volume","PC1","PC2"
"24","3","novice","1",6,"37",0.187777644,832.9,676.5,17,0.025129342,85,21.44117647,132.8,0.161454642,50,25718.44141,268217.2917,129.2913361,95.54522705,73.15756226,236.4614736,0.0958865897384646,-3.69942672906491,1.03760052785414
"25","3","novice","1",7,"13",0.854760302,1337.1,194.2,32,0.164778579,5,25.79375,85.8,0.300626457,5,11292.36133,76934.15104,86.6787262,63.82447052,40.83120728,243.285355,0.146779566386959,0.234311361794708,0.12556764991352
"26","3","novice","1",NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3","novice","1",NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4","novice","1",1,"52",0.731613728,469.1,125.9,23,0.18268467,45,22.13913043,65.1,0.340078809,60,8385.9375,49897.43229,60.6572113,59.22818756,39.08322525,236.8636781,0.168063507782556,-0.60431166306915,-0.0369849686068051
"29","4","novice","1",2,"39",0.842092546,827.7,130.7,21,0.160673298,20,23.85238095,66.1,0.360852965,50,8347.561523,51849.6875,65.46279907,53.42047882,43.71788788,216.3647959,0.160995406635768,-0.0364701996299907,-0.340289430251629
"30","4","novice","1",3,"80",0.860337357,1292.4,180.5,40,0.221606648,15,21.1725,76.3,0.27749017,70,10843.41992,71853.39063,73.14321899,63.28562927,44.23999786,246.9473083,0.150910344312585,-0.541008241171082,-1.42697942027032
"31","4","novice","1",4,"29",0.908084164,1535.1,141.1,13,0.092133239,30,29.91538462,68.7,0.435449558,30,8615.658203,56292.48958,68.44441223,57.56035614,44.85604477,201.8201256,0.153051646272561,0.097039424143782,0.839785052788423
"32","4","novice","1",5,"45",0.852808722,843.8,124.2,21,0.169082126,25,26.08095238,77,0.338713667,0,9214.057617,49585.32292,75.17558289,66.71031189,34.85608673,318.1606603,0.185822277125547,0.556158304430664,0.962422818806024
"33","4","novice","1",6,"14",0.858983761,954.5,134.6,29,0.215453195,25,18.95357143,60.4,0.313282172,70,8293.391602,53456.38542,59.40526581,54.26066589,47.43000793,199.6169147,0.155143142149247,-0.498674050583358,-1.02073239128095
"34","4","novice","1",7,"25",0.877061469,800.4,98.4,32,0.325203252,10,19.603125,66.9,0.2930213,40,7314.305664,39032.32031,66.30314636,51.76472473,26.98718834,256.8446822,0.187391003299542,0.730589900998769,-1.02078904173014
"35","4","novice","1",8,"66",0.854225352,852,124.2,29,0.233494364,15,20.77586207,65.1,0.319137666,60,8310.359375,48913.05208,63.66057587,47.50427246,42.8389473,239.8887542,0.169900650677205,0.0614995277573557,-1.05046418844488
"36","4","novice","1",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","5","novice","0",1,"36",0.267319162,653.9,479.1,42,0.087664371,70,19.87380952,105.5,0.188377342,95,19025.58594,189794.3542,105.495163,69.2487793,69.4249115,191.1822391,0.100243160657726,-3.44689914121505,-0.550910279844445
"38","5","novice","0",2,"53",0.664644379,774.7,259.8,35,0.134719015,20,23.63142857,82.6,0.286094777,40,13280.38965,103134.2188,82.04989624,66.54321289,53.23448181,220.2048531,0.128768024856557,-0.818974940997989,-0.318156414794794
"39","5","novice","0",3,"48",0.486717649,993.8,510.1,7,0.013722799,65,53.8,114.4,0.47027972,0,22519.63086,202498.2917,98.81503296,78.71923828,74.09121704,278.5101803,0.111208991794176,-0.792349655937553,2.7667742293269
"40","5","novice","0",4,"68",0.206009655,1201.4,953.9,11,0.011531607,75,33.01818182,140.1,0.235675816,0,32704.79297,377917.125,132.5419464,98.01068115,73.70487213,244.9294846,0.0865395897844005,-2.67495608017611,2.24740047270678
"41","5","novice","0",5,"40",0.639255058,1304.8,470.7,49,0.104100276,35,22.73061224,88.7,0.256263949,60,18238.38477,186266.8958,88.06967163,82.65966797,61.36591339,174.8589099,0.0979153310719424,-1.944937178214,-0.468187918853998
"42","5","novice","0",6,"93",0.746843055,1164.1,294.7,42,0.142517815,20,21.15952381,76.1,0.278048933,85,13508.98926,116968.5313,74.25457764,64.26092529,61.77102661,180.1899214,0.115492509907235,-1.45735155315988,-1.48830452153499
"43","5","novice","0",NA,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","5","novice","0",NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5","novice","0",NA,"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
